popularity,popularity_num,artist_followers,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
False,63,267155,60,0.82,0.575,5,-4.385,0,0.0832,0.0725,0,0.0569,0.788,107.024,4
False,70,47567,60,0.791,0.789,11,-4.694,0,0.104,0.0114,0,0.301,0.669,112.11,4
False,75,4407716,84,0.6,0.96,4,-1.807,1,0.095,0.0426,0,0.0882,0.503,109.863,4
False,75,1179456,74,0.806,0.707,7,-4.623,1,0.0307,0.331,0,0.294,0.746,118.011,4
False,74,1179456,74,0.76,0.672,9,-5.277,0,0.0732,0.465,0,0.205,0.505,127.986,4
False,63,196408,55,0.729,0.926,7,-2.129,1,0.108,0.0796,9.14e-06,0.152,0.743,110.05,4
False,77,13491482,95,0.709,0.857,9,-3.394,1,0.0881,0.00219,0,0.103,0.446,126.038,4
False,62,114090,60,0.629,0.791,0,-4.263,0,0.0402,0.238,0,0.0592,0.673,107.821,4
False,68,554998,71,0.655,0.821,11,-4.741,1,0.187,0.0158,0,0.131,0.672,144.977,4
False,72,364609,66,0.74,0.804,3,-2.187,1,0.0546,0.411,0,0.0578,0.791,150.013,4
False,72,1819464,76,0.714,0.736,2,-3.801,1,0.0457,0.191,0,0.0553,0.814,149.985,4
False,72,396656,75,0.709,0.718,6,-3.315,0,0.0312,0.059,0,0.167,0.24,104.971,4
False,53,1904,43,0.734,0.745,2,-4.338,1,0.0655,0.003,4.56e-06,0.248,0.647,139.958,4
False,72,781729,67,0.725,0.94,5,-2.32,0,0.0435,0.115,0.00431,0.0864,0.905,127.051,4
False,60,1278888,70,0.645,0.937,8,-2.772,1,0.0741,0.0168,0,0.1,0.455,103.033,4
False,71,2226618,79,0.711,0.861,0,-2.905,1,0.0924,0.106,4.4e-05,0.112,0.78,118.004,4
False,71,2226618,79,0.573,0.91,8,-1.578,1,0.064,0.0846,0,0.266,0.602,169.982,4
True,7,4407716,84,0.786,0.853,8,-2.687,1,0.0816,0.0688,0,0.0759,0.45,125.034,4
False,70,1904990,73,0.727,0.888,0,-2.756,1,0.0881,0.015,0,0.113,0.726,129.993,4
False,77,7957700,91,0.557,0.719,2,-4.515,0,0.0372,0.00267,0,0.306,0.344,77.501,4
False,65,87750,58,0.627,0.932,6,-1.891,0,0.162,0.126,0,0.351,0.85,154.045,4
False,63,1179456,74,0.625,0.735,7,-4.358,1,0.0366,0.185,0,0.318,0.625,129.959,4
True,6,4407716,84,0.658,0.836,5,-3.282,0,0.0549,0.00264,1.02e-06,0.507,0.387,124.969,4
False,71,470467,67,0.722,0.833,6,-3.915,1,0.094,0.0556,0,0.195,0.53,93.941,4
False,70,1819464,76,0.732,0.934,8,-4.618,1,0.144,0.0774,0.00745,0.306,0.898,159.998,4
False,70,396656,75,0.774,0.792,9,-4.019,0,0.224,0.00427,1.15e-06,0.283,0.505,98.1,4
False,73,781729,67,0.785,0.744,3,-4.249,0,0.0369,0.0149,0.00666,0.0661,0.833,126.018,4
False,70,618897,68,0.616,0.833,3,-3.314,0,0.067,0.315,0,0.175,0.595,97.898,4
False,70,1819464,76,0.839,0.902,1,-3.612,0,0.0536,0.0868,0.00257,0.272,0.639,114.953,4
False,67,20682,57,0.745,0.739,10,-4.591,1,0.0327,0.405,0.000183,0.127,0.556,99.913,4
True,7,4407716,84,0.707,0.758,4,-4.511,0,0.0917,0.0399,0,0.141,0.674,97.037,4
True,5,1026280,65,0.765,0.769,2,-3.16,1,0.0595,0.167,0,0.0854,0.581,103.006,4
True,6,4407716,84,0.822,0.712,11,-4.877,1,0.15,0.00682,0,0.0955,0.647,102.874,4
False,68,1819464,76,0.709,0.917,9,-3.315,1,0.189,0.0409,0,0.0839,0.515,125.042,4
False,44,1904990,73,0.65,0.891,4,-2.879,1,0.0906,0.0224,0.000167,0.122,0.517,130.099,4
False,44,200918,59,0.638,0.607,7,-5.368,0,0.0271,0.314,0,0.0958,0.272,117.012,4
False,58,610296,63,0.409,0.743,1,-4.536,1,0.0496,0.225,0,0.276,0.441,167.864,4
True,36,150850,51,0.665,0.925,6,-2.31,0,0.0664,0.0924,0,0.262,0.641,129.974,4
True,31,3293,37,0.702,0.735,6,-5.586,1,0.106,0.143,0,0.115,0.343,119.96,4
False,44,50116,48,0.431,0.6,7,-5.439,0,0.297,0.709,0,0.121,0.683,79.234,4
False,62,466356,67,0.726,0.492,10,-8.046,0,0.0794,0.566,8.14e-06,0.257,0.526,85.939,4
True,39,104160,46,0.671,0.908,9,-2.504,1,0.147,0.102,0,0.328,0.839,147.978,4
False,55,949008,68,0.549,0.862,1,-3.474,1,0.0509,0.076,0,0.11,0.319,162.08,4
True,36,5057,47,0.654,0.689,0,-5.077,1,0.226,0.495,0,0.101,0.756,95.235,4
False,57,61911,67,0.71,0.899,5,-2.785,1,0.0335,0.0551,0,0.203,0.818,108.006,4
False,45,82222,48,0.734,0.829,11,-4.069,0,0.0482,0.0856,0,0.0732,0.613,130.047,4
True,37,28265,57,0.643,0.508,2,-7.825,1,0.0269,0.418,6.87e-05,0.103,0.26,105.946,4
True,39,176,28,0.752,0.949,2,-2.98,1,0.178,0.147,0,0.074,0.483,106.001,4
False,45,1150,41,0.575,0.899,10,-5.011,1,0.0487,0.0669,1.25e-05,0.0935,0.673,149.976,4
False,53,610296,63,0.663,0.784,1,-4.665,1,0.0315,0.54,0,0.119,0.478,93.038,4
False,51,468995,68,0.716,0.832,11,-4.233,1,0.0905,0.223,0,0.327,0.902,115.079,4
False,55,101813,48,0.754,0.841,8,-2.296,1,0.106,0.213,1.61e-06,0.141,0.751,145.047,4
True,30,30833,50,0.562,0.664,2,-4.039,1,0.0265,0.0265,0,0.247,0.217,100.051,4
False,54,183314,60,0.735,0.92,8,-1.461,1,0.0754,0.0125,0,0.159,0.793,117.959,4
False,63,183314,60,0.666,0.82,11,-2.886,0,0.208,0.293,0,0.249,0.883,143.741,4
False,68,809096,66,0.787,0.543,10,-6.7,0,0.037,0.0233,0,0.0861,0.332,99.026,4
False,59,28173,54,0.507,0.946,3,-3.845,0,0.124,0.0427,3.54e-06,0.344,0.494,173.004,4
False,74,7957700,91,0.598,0.775,1,-4.035,0,0.0545,0.022,0,0.0677,0.687,129.819,4
True,32,22458,43,0.648,0.799,7,-2.792,1,0.111,0.124,0,0.189,0.58,90.01,4
False,41,161,30,0.862,0.87,5,-2.649,0,0.0558,0.0717,0,0.142,0.961,121.993,4
False,49,210676,60,0.655,0.462,9,-4.232,1,0.0453,0.0187,3.66e-05,0.0498,0.428,98.026,4
False,56,30833,50,0.781,0.918,7,-4.358,1,0.125,0.0317,1.4e-06,0.227,0.767,104.015,4
False,86,7957700,91,0.669,0.684,7,-4.595,1,0.0585,0.252,0,0.72,0.466,96.097,4
False,56,1278888,70,0.609,0.834,6,-3.654,0,0.22,0.0502,0,0.426,0.257,165.144,4
False,45,101544,50,0.716,0.535,10,-5.13,1,0.0567,0.276,0,0.242,0.47,127.819,4
True,36,114672,55,0.656,0.655,5,-5.164,1,0.132,0.392,0,0.0904,0.744,82.661,4
False,89,7950428,91,0.678,0.729,8,-4.188,1,0.137,0.0658,0,0.303,0.643,99.895,4
False,42,83216,49,0.685,0.849,5,-3.334,0,0.0523,0.0407,0,0.336,0.625,124.009,4
False,44,5164,38,0.858,0.844,11,-5.095,1,0.103,0.444,0,0.0886,0.785,124.055,4
False,54,184962,65,0.598,0.532,9,-6.703,0,0.153,0.159,0,0.124,0.323,155.809,4
False,53,232204,64,0.849,0.564,7,-5.559,0,0.0694,0.405,0,0.151,0.794,108.056,4
False,49,310472,67,0.698,0.497,0,-6.606,1,0.0825,0.502,0,0.0918,0.646,124.942,4
False,63,1819464,76,0.723,0.726,2,-4.512,1,0.043,0.21,0,0.061,0.839,150.011,4
True,35,1143,36,0.453,0.507,5,-6.447,1,0.0506,0.639,0,0.478,0.509,114.911,4
True,35,64487,52,0.629,0.936,10,-3.372,1,0.146,0.0457,0,0.172,0.479,154.099,4
False,69,7957700,91,0.57,0.422,1,-7.561,0,0.0422,0.372,0,0.127,0.169,113.007,4
False,67,4371202,83,0.612,0.519,9,-5.568,1,0.0391,0.478,0,0.189,0.537,80.882,4
False,64,1012107,73,0.746,0.738,9,-3.67,1,0.207,0.0705,0,0.043,0.63,94.808,4
True,0,652409,68,0.4,0.724,8,-6.064,1,0.253,0.375,0,0.0927,0.43,96.782,4
False,61,251101,64,0.343,0.704,6,-4.54,0,0.158,0.304,0,0.0679,0.457,63.439,4
False,46,809096,65,0.843,0.722,1,-6.403,1,0.0696,0.0218,5.31e-06,0.0424,0.344,95.981,4
False,56,2360846,83,0.685,0.841,5,-3.975,1,0.0327,0.0408,5.28e-05,0.274,0.486,99.981,4
False,41,36,30,0.431,0.555,7,-5.069,1,0.0293,0.808,0,0.191,0.159,127.547,4
False,69,336695,73,0.241,0.536,7,-8.88,1,0.0432,0.0948,0.0107,0.296,0.229,142.129,4
True,0,184962,65,0.754,0.803,9,-3.233,0,0.0797,0.0326,0,0.225,0.36,140.016,4
True,2,3366398,79,0.729,0.88,6,-3.712,1,0.0458,0.0185,0,0.0574,0.957,127.987,4
False,57,2226618,79,0.715,0.862,10,-2.718,0,0.0444,0.0113,0,0.108,0.668,137.93,4
True,36,34284,43,0.83,0.64,6,-4.921,1,0.111,0.601,0,0.273,0.797,88.98,4
True,0,652409,68,0.651,0.749,5,-3.707,0,0.0412,0.188,0,0.0723,0.93,150.019,4
False,45,30833,50,0.725,0.743,9,-5.755,1,0.0317,0.261,0,0.35,0.622,107.999,4
False,52,101544,50,0.739,0.485,4,-5.858,0,0.0526,0.194,0,0.0673,0.4,92.489,4
False,46,47355,49,0.757,0.856,0,-3.846,1,0.0327,0.184,4.92e-06,0.287,0.71,119.998,5
False,49,580174,65,0.758,0.686,9,-4.213,0,0.0313,0.0234,2.81e-06,0.0928,0.904,89.019,4
True,0,8784,31,0.851,0.845,2,-2.293,0,0.0342,0.119,0.000871,0.0305,0.95,108.998,4
False,54,21767,46,0.416,0.57,11,-7.239,0,0.0557,0.522,0,0.0822,0.432,110.035,1
False,46,610296,66,0.82,0.804,8,-4.131,1,0.0494,0.064,0,0.0978,0.414,115.004,4
True,38,9673,42,0.584,0.767,4,-3.78,0,0.0511,0.212,0,0.178,0.509,110.001,4
False,41,21767,46,0.602,0.478,11,-9.7,0,0.0665,0.515,1.08e-05,0.0663,0.342,129.9,4
False,58,184129,61,0.735,0.852,2,-3.85,1,0.092,0.0401,0,0.196,0.788,98.494,4
True,14,580174,67,0.646,0.628,5,-5.81,1,0.0337,0.451,0,0.198,0.261,93.897,4
False,41,73925,64,0.727,0.731,11,-5.997,0,0.0416,0.0516,0,0.0947,0.417,134.113,4
False,50,184129,61,0.655,0.665,7,-4.785,1,0.0358,0.0873,0,0.122,0.535,112.831,4
False,51,83216,49,0.589,0.818,7,-4.619,0,0.0279,0.0127,1.44e-06,0.0846,0.239,127.994,4
False,46,20682,57,0.867,0.811,8,-2.933,1,0.062,0.0061,0.0243,0.0648,0.687,135.099,4
False,48,253821,58,0.915,0.464,1,-5.289,1,0.0428,0.128,0,0.0785,0.912,106.034,4
True,33,40396,52,0.576,0.862,5,-2.704,1,0.0438,0.0297,0,0.31,0.214,99.995,4
True,37,385716,59,0.635,0.773,10,-3.864,1,0.0565,0.0956,0,0.133,0.262,100.051,4
